Source,Target,Strength
237140311,26487169,6
2374048657,26487169,5
2374048657,471672239,4
2374237604,26487169,5
2374710294,26487169,3
2376137988,24127811,3
2381241810,236487888,4
2381241810,721737068322271232,6
2382696936,236487888,3
23840242,26487169,3
2384029214,26487169,3
239098890,471672239,4
2391736411,721737068322271232,5
2391853732,2534195028,3
2394771566,199056422,4
239760871,239760871,5
2398300866,109065990,3
23994631,2242085304,3
240038070,24127811,3
2401319821,26487169,3
2402871253,111216929,3
2402871253,438829074,12
240658286,721737068322271232,3
2409490969,729294150345080832,6
241173956,18643437,3
2412231368,2412231368,3
2412231368,4761064634,3
241263190,39344374,3
2417813899,3383049855,5
241803028,358545917,4
24226326,26487169,4
2425776899,471672239,3
2426437332,14505245,3
24309304,358545917,4
243338872,459872442,3
2434108123,714575249128423424,14
2436723198,26487169,4
2438889943,2574956743,4
2438996330,26487169,3
2443151240,4761064634,3
2443710643,884024311,3
244605913,26487169,6
2446331126,15063486,3
2447070738,2288462990,4
2447290136,358545917,3
2449860300,358545917,3
245207295,111216929,3
245242961,471672239,3
2452579349,884024311,3
2455824056,26487169,4
2458410882,16163639,11
2458410882,358545917,5
2458476536,236487888,3
2458476536,358545917,4
245885182,26487169,3
2461452080,722942823847170048,3
246179810,358545917,3
2461907034,2299898941,4
2462287662,331057915,4
24626122,26487169,3
2465958361,930174438,3
2468835126,734886138326847491,3
2469807936,16163639,3
2471150767,1375717166,3
2471698340,438829074,3
2472706965,471672239,3
2473048608,26487169,3
2473143948,358545917,4
247319675,24127811,4
2473250695,26487169,3
247558666,16163639,6
2476178880,2476178880,3
2476178880,358545917,3
2476178880,39344374,3
247650839,331057915,3
2477028826,358545917,3
2477331072,4810747934,3
2478940417,4761064634,4
2479085623,111216929,4
2479977919,236487888,4
24806398,14505245,3
248365518,471672239,3
24840051,3383049855,3
2486399080,108475786,3
2488999291,471672239,3
2489678468,471672239,3
2490389310,45641358,3
2494734018,4761064634,4
2496377724,16163639,6
2496377724,24127811,3
2496377724,3383049855,3
249832494,26487169,4
2500587222,1969583143,3
2502463908,2502463908,8
2502463908,471672239,3
2507917171,16163639,3
2507917171,24127811,11
2507917171,26487169,3
2507917171,358545917,4
2507917171,734886138326847491,3
2510389099,275276082,3
25128967,24127811,7
2514475647,471672239,3
251497683,2733816872,3
251668274,61015562,3
252141392,16623835,3
252163888,26487169,4
252163888,471672239,4
2529693623,109065990,3
253227576,471672239,3
2532637243,2881167136,3
253637278,358545917,8
253843457,4761064634,3
254225845,254225845,6
2544315597,347627434,3
2544931616,2461452080,3
2544931616,358545917,10
25456537,26487169,3
2548791199,471672239,4
25493304,24127811,7
25493304,66533920,3
255645890,26487169,7
255645890,4826510725,13
2559756184,26487169,3
256184059,750868791752593408,5
256184059,772891119424331776,21
256295530,898819579,19
256780164,26487169,3
256780164,4761064634,3
256804632,24127811,3
2569487083,240107748,4
2569487083,459872442,5
2570950710,109065990,3
2571872893,72931184,3
2573562002,438829074,6
2573939444,3387188439,3
2574833642,2574956743,4
2574956743,2574956743,10
2581320411,26487169,5
258241023,24127811,4
2587530942,2587530942,3
25890025,130496027,3
2590278009,45620701,9
2591708060,471672239,4
2596671277,26487169,6
25986794,374775473,3
2599136157,3387188439,4
260126662,963297229,3
26012834,26487169,3
260634454,4761064634,3
260830319,109065990,4
2614181437,26487169,3
2614244476,471672239,3
261749735,471672239,4
261749735,715044396,3
2617600688,92079350,3
2619163263,2619163263,10
262349771,111216929,3
262529184,331057915,6
262529998,1246177122,9
26254723,4761064634,3
2626453511,1384804622,47
262683865,111216929,3
263196028,550708707,3
263477298,2534195028,3
263504882,24127811,5
2647869419,734886138326847491,3
264870144,26487169,4
2650655484,358545917,3
